Skeleton,Program,Line Number
CMNRPM99,CMNBATCH,5
CMNRPMB0,CMNBATCH,10
CMNRPMB0,IEBGENER,80
CMNRPMB9,CMNBATCH,8
CMNRPMCL,IEBCOPY,35
CMNRPMCL,SERCOPY,38
CMNRPMCL,CMNDELRN,85
CMNRPMCL,CMNDELRN,113
CMNRPMCL,IEBGENER,134
CMNRPMCL,IEFBR14,142
CMNRPMCL,IEBGENER,144
CMNRPMCR,IEBCOPY,71
CMNRPMCR,SERCOPY,74
CMNRPMCR,IEBCOPY,113
CMNRPMCR,SERCOPY,116
CMNRPMCR,IEBCOPY,156
CMNRPMCR,SERCOPY,159
CMNRPMCR,CMNDELRN,227
CMNRPMCR,CMNDELRN,241
CMNRPMCR,CMNDELRN,255
CMNRPMCR,CMNDELRN,293
CMNRPMCR,CMNDELRN,310
CMNRPMCR,CMNDELRN,327
CMNRPMCR,IEBGENER,360
CMNRPMCR,IEFBR14,368
CMNRPMCR,IEBGENER,370
CMNRPMCR,IEBGENER,378
CMNRPMDL,IEFBR14,6
CMNRPMDR,IEFBR14,14
CMNRPMMJ,OS3550,8
CMNRPMT0,IEBGENER,9
CMNRPMT0,IEBGENER,18
CMNRPMT9,IEBGENER,9
CMNRPMT9,IEBGENER,18
CMNRXS,IEFBR14,38
CMNRXS,REXXCOMP,49
CMNRXS,CMNBAT90,69
CMNRXS,SERCOPY,93
CMNSASC,LC370B,9
CMNSRVC,CMNVSRVC,16
CMNTLNGN,IEBUPDTE,16
CMNTLNGN,ASMA90,33
CMNTLNGN,&PGMASM,37
CMNTLNGN,IEBUPDTE,58
CMNTLNPI,ADPACTLC,6
CMNTLNPI,ADPACTLC,11
CMNTLNPI,TELONTDF,17
CMNTLNRS,ADPACOPY,8
CMNZ010A,IDCAMS,6
CMNZ010P,IEBGENER,6
CMNZ030P,IEBGENER,6
CMNZ070P,IEBGENER,6
CMNZ100P,IEBGENER,6
CMNZ110P,IEBGENER,6
CMNZ120P,IEBGENER,6
CMNZ130P,IEBGENER,6
CMNZ140P,IEBGENER,6
CMNZ160P,IEBGENER,6
CMNZ170P,IEBGENER,6
CMV$$CVM,CMNDELRN,9
CMV$$CVM,CMNDELRN,25
CMV$$CVM,CMNDELRN,46
CMV$$CVM,CMNDELRN,62
CMV$$CVM,CMNDELRN,78
COMPMVS1,DSNHPC,28
COMPMVS1,EW7510,99
COMPMVS1,CH7061,121
COMPMVS1,IEL1AA,125
COMPMVS1,DSNHPC,164
COMPMVS1,EW7520,194
COMPMVS1,CH7061,219
COMPMVS1,IEL1AA,223
COMPMVS1,DFHEPP1$,253
COMPMVS1,IEBGENER,266
COMPMVS1,SY2090,282
COMPMVS1,NN0054,298
COMPMVS1,CH7061,315
COMPMVS1,IEL1AA,319
COMPMVS1,IEFBR14,352
COMPMVS1,STRXPLF,358
COMPMVS1,CMNSSIDN,370
COMPMVS1,IEFBR14,407
COMPMVS1,HEWL,417
COMPMVS1,IEBGENER,513
COMPMVS1,IEBGENER,521
COMPMVS1,CMNBAT90,529
COMPMVS1,CMNBAT90,551
COMPMVS1,SERCOPY,576
COMPMVS1,SERCOPY,589
COMPSTG,SY4020,11
COMPSTG,ADRDSSU,26
DB1$$B90,IKJEFT01,8
DB1$$B90,CMNBAT90,24
DB1$$B90,CMNBAT90,50
DB1$$B92,SERCOPY,11
DB1$$B92,SERCOPY,25
DB2$$B90,IKJEFT01,8
DB2$$B90,CMNBAT90,26
DB2$$B92,SERCOPY,8
EPC$$CGN,EW7510,8
EPC$$FAF,IKJEFT01,49
EPC$$LCT,ICEGENER,10
EPC$$LCT,CMNBAT90,21
EPC$$LCT,SERCOPY,47
EPC$$PLI,IBMZPLI,55
EPC$$PLI,CWPPMAIN,57
